INDICATIVO;VARIABLE;FECHA;HORA;PERIODO;VALOR;VALIDACION
5108A;TD4;31/12/2007;7:00;1440;11,1;E
5108A;TD4;01/01/2008;7:00;1440;12;E
5108A;TD4;02/01/2008;7:00;1440;10,5;E
5108A;TD4;03/01/2008;7:00;1440;6,5;E
5108A;TD4;04/01/2008;7:00;1440;13,2;E
5108A;TD4;05/01/2008;7:00;1440;16,6;E
5108A;TD4;06/01/2008;7:00;1440;19,5;E
5108A;TD4;07/01/2008;7:00;1440;15,5;E
5108A;TD4;08/01/2008;7:00;1440;8,2;E
5108A;TD4;09/01/2008;7:00;1440;12,3;E
5108A;TD4;10/01/2008;7:00;1440;13,5;E
5108A;TD4;11/01/2008;7:00;1440;11,5;E
5108A;TD4;12/01/2008;7:00;1440;13,3;E
5108A;TD4;13/01/2008;7:00;1440;8,1;E
5108A;TD4;14/01/2008;7:00;1440;11,9;E
5108A;TD4;15/01/2008;7:00;1440;11,1;E
5108A;TD4;16/01/2008;7:00;1440;14,3;E
5108A;TD4;17/01/2008;7:00;1440;18;E
5108A;TD4;18/01/2008;7:00;1440;20,3;E
5108A;TD4;19/01/2008;7:00;1440;19,8;E
5108A;TD4;20/01/2008;7:00;1440;19,5;E
5108A;TD4;21/01/2008;7:00;1440;18,8;E
5108A;TD4;22/01/2008;7:00;1440;16;E
5108A;TD4;23/01/2008;7:00;1440;13,3;E
5108A;TD4;24/01/2008;7:00;1440;12,9;E
5108A;TD4;25/01/2008;7:00;1440;13,5;E
5108A;TD4;26/01/2008;7:00;1440;15,3;E
5108A;TD4;27/01/2008;7:00;1440;14,5;E
5108A;TD4;28/01/2008;7:00;1440;14,5;E
5108A;TD4;29/01/2008;7:00;1440;11,4;E
5108A;TD4;30/01/2008;7:00;1440;15,2;E
5108A;TD4;31/01/2008;7:00;1440;13;E
5108A;TD4;01/02/2008;7:00;1440;11,3;E
5108A;TD4;02/02/2008;7:00;1440;12,1;E
5108A;TD4;03/02/2008;7:00;1440;13;E
5108A;TD4;04/02/2008;7:00;1440;17;E
5108A;TD4;05/02/2008;7:00;1440;19,5;E
5108A;TD4;06/02/2008;7:00;1440;18,4;E
5108A;TD4;07/02/2008;7:00;1440;17,4;E
5108A;TD4;08/02/2008;7:00;1440;14,9;E
5108A;TD4;09/02/2008;7:00;1440;17,4;E
