Year,Original,Fitted
"1,984","1,539.013","1,640.546"
"1,985","1,861.468","1,713.047"
"1,986","1,846.015","1,785.548"
"1,987","1,678.454","1,858.049"
"1,988","1,610.265","1,930.549"
"1,989","2,155.422","2,003.05"
"1,990","2,397.416","2,075.551"
"1,991","2,636.83","2,148.052"
"1,992","1,813.556","2,220.553"
"1,993","2,209.693","2,220.332"
"1,994","1,865.462","2,220.111"
"1,995","2,715.188","2,219.89"
"1,996","2,164.27","2,219.669"
"1,997","2,232.641","2,219.448"
"1,998","2,563.226","2,219.227"
"1,999","1,906.434","2,219.006"
"2,000","2,442.353","2,218.785"
"2,001","1,987.952","2,218.564"
"2,002","2,220.436","2,218.343"
"2,003","2,212.675","2,218.122"
"2,004","2,395.455","2,217.901"
"2,005","1,643.2","2,217.68"
"2,006","1,893.363","2,217.459"
"2,007","2,351.019","2,217.238"
"2,008","3,198.944","2,217.018"
"2,009","2,008.457","2,216.797"
"2,010","2,144.444","2,216.576"
"2,011","2,158.919","2,216.355"
"2,012","1,693.811","2,216.134"
"2,013","1,902.521","2,215.913"
"2,014","2,396.064","2,215.692"
"2,015","2,120.846","2,215.471"
"2,016","2,153.392","2,215.25"
"2,017","1,878.876","2,215.029"
"2,018","2,283.712","2,214.808"
"2,019","2,269.868","2,214.587"
"2,020","2,591.754","2,214.366"
"2,021","2,531.447","2,214.145"
