Year,Original,Fitted
"1,984",295.852,260.821
"1,985",292.04,265.307
"1,986",343.613,269.793
"1,987",264.804,274.279
"1,988",240.023,278.764
"1,989",260.282,283.25
"1,990",254.503,287.736
"1,991",309.273,292.222
"1,992",263.19,296.708
"1,993",267.789,301.193
"1,994",248.674,305.679
"1,995",299.819,310.165
"1,996",402.317,314.651
"1,997",413.203,319.137
"1,998",287.678,323.622
"1,999",256.281,328.108
"2,000",271.509,332.594
"2,001",392.041,337.08
"2,002",413.775,341.566
"2,003",301.477,346.051
"2,004",313.595,350.537
"2,005",280.512,355.023
"2,006",410.984,359.509
"2,007",424.731,363.995
"2,008",373.661,368.48
"2,009",411.531,372.966
"2,010",391.233,377.452
"2,011",313.993,381.938
"2,012",291.942,386.424
"2,013",454.83,390.909
"2,014",434.698,395.395
"2,015",367.867,399.881
"2,016",364.366,404.367
"2,017",363.362,408.853
"2,018",422.686,413.339
"2,019",460.258,417.824
"2,020",441.787,422.31
"2,021",464.542,426.796
