Year,Original,Fitted
"1,984",531.685,592.421
"1,985",507.878,595.573
"1,986",705.331,598.725
"1,987",634.119,601.877
"1,988",595.257,605.029
"1,989",568.998,608.18
"1,990",652.642,611.332
"1,991",552.732,614.484
"1,992",601.066,617.636
"1,993",544.914,620.787
"1,994",597.089,623.939
"1,995",626.104,627.091
"1,996",679.194,630.243
"1,997",631.333,633.394
"1,998",676.8,636.546
"1,999",672.766,639.698
"2,000",645.099,642.85
"2,001",647.228,646.002
"2,002",719.552,649.153
"2,003",636.499,652.305
"2,004",744.47,655.457
"2,005",591.627,658.609
"2,006",642.249,661.76
"2,007",660.532,664.912
"2,008",618.962,668.064
"2,009",648.266,671.216
"2,010",703.778,674.367
"2,011",616.585,677.519
"2,012",735.412,680.671
"2,013",731.354,683.823
"2,014",727.556,686.974
"2,015",723.647,690.126
"2,016",718.738,693.278
"2,017",585.313,696.43
"2,018",675.922,699.582
"2,019",604.712,702.733
"2,020",699.122,705.885
"2,021",778.521,709.037
