Year,Original,Fitted
"1,984","1,251.959","1,990.268"
"1,985","3,177.267","1,990.268"
"1,986","1,794.075","1,990.268"
"1,987","1,699.371","1,990.268"
"1,988","1,887.387","1,990.268"
"1,989","2,330.165","1,990.268"
"1,990","2,059.481","1,990.268"
"1,991","1,672.984","1,990.268"
"1,992","1,665.161","1,990.268"
"1,993","1,845.218","1,990.268"
"1,994","1,837.655","1,990.268"
"1,995","2,626.761","1,990.268"
"1,996","2,352.308","1,990.268"
"1,997","1,921.579","1,990.268"
"1,998","2,808.891","1,990.268"
"1,999","1,730.769","1,990.268"
"2,000","1,788.822","1,990.268"
"2,001","1,653.052","1,990.268"
"2,002","2,184.804","1,990.268"
"2,003","1,647.727","1,990.268"
"2,004","2,409.475","1,990.268"
"2,005","1,420.528","1,990.268"
"2,006","1,984.816","1,990.268"
"2,007","1,638.882","1,990.268"
"2,008","2,203.8","1,990.268"
"2,009","2,157.78","1,990.268"
"2,010","1,477.03","1,990.268"
"2,011","1,968.912","1,990.268"
"2,012","1,611.986","1,990.268"
"2,013","1,969.993","1,990.268"
"2,014","2,572.044","1,990.268"
"2,015","2,463.118","1,990.268"
"2,016","1,562","1,990.268"
"2,017","1,833.016","1,990.268"
"2,018","2,133.669","1,990.268"
"2,019","1,863.308","1,990.268"
"2,020","2,450.232","1,990.268"
"2,021","2,146.907","1,990.268"
