Year,Original,Fitted
"1,984",886.608,"1,107.717"
"1,985","1,223.033","1,124.38"
"1,986","1,043.408","1,141.043"
"1,987",957.199,"1,157.707"
"1,988","1,466.383","1,174.37"
"1,989","1,403.731","1,191.033"
"1,990","1,462.721","1,207.696"
"1,991","1,030.162","1,224.36"
"1,992","1,448.166","1,241.023"
"1,993","1,140.756","1,257.686"
"1,994",940.244,"1,274.35"
"1,995",917.851,"1,291.013"
"1,996","1,172.004","1,307.676"
"1,997","1,517.515","1,324.339"
"1,998","2,132.164","1,341.003"
"1,999","1,255.299","1,357.666"
"2,000","1,513.828","1,374.329"
"2,001","1,301.163","1,390.993"
"2,002","1,281.988","1,407.656"
"2,003","1,232.151","1,424.319"
"2,004","1,476.482","1,440.983"
"2,005","1,124.843","1,457.646"
"2,006","1,276.202","1,474.309"
"2,007","1,231.978","1,490.972"
"2,008","1,208.323","1,507.636"
"2,009","1,271.449","1,524.299"
"2,010","1,087.001","1,540.962"
"2,011","1,912.127","1,557.626"
"2,012","1,746.121","1,574.289"
"2,013","1,675.015","1,590.952"
"2,014","1,666.667","1,607.616"
"2,015","1,774.138","1,624.279"
"2,016","2,024.81","1,640.942"
"2,017","1,581.167","1,657.605"
"2,018","1,735.776","1,674.269"
"2,019","1,746.51","1,690.932"
"2,020","1,654.033","1,707.595"
"2,021","1,820.276","1,724.259"
