site,d_duration,d_intensity,d_severity,lowest_spei,month_peak,start_date,end_date,middate
ASH,4,-1.65812499076128,6.63249996304512,-1.8700000047683716,9,2005-06-01,2005-09-01,2005-07-17
ASH,3,-1.6491666833559673,4.947500050067902,-1.7200000286102295,9,2009-08-01,2009-10-01,2009-08-31
ASH,2,-1.393750011920929,2.787500023841858,-1.4775000214576721,6,2012-05-01,2012-06-01,2012-05-17
BSD,3,-1.4250000019868214,4.2750000059604645,-1.5875000059604645,1,2004-11-01,2005-01-01,2004-12-01
BSD,6,-1.6916666726271312,10.150000035762787,-1.9300000071525574,10,2005-06-01,2005-11-01,2005-08-16
BSD,2,-1.4525000005960464,2.905000001192093,-1.524999976158142,2,2012-01-01,2012-02-01,2012-01-17
BSD,2,-1.4125000089406967,2.8250000178813934,-1.425000011920929,6,2012-06-01,2012-07-01,2012-06-16
NSD,10,-1.5662500143051148,15.662500143051147,-1.8900000154972076,9,2005-01-01,2005-10-01,2005-05-17
NSD,3,-1.4241666595141094,4.272499978542328,-1.467500001192093,9,2009-08-01,2009-10-01,2009-08-31
NSD,3,-1.6083333492279053,4.825000047683716,-1.7150000035762787,6,2012-05-01,2012-07-01,2012-05-31
NSH,5,-1.702500009536743,8.512500047683716,-1.9024999737739563,9,2005-06-01,2005-10-01,2005-08-01
NSH,3,-1.4333333273728688,4.299999982118607,-1.479999989271164,9,2009-08-01,2009-10-01,2009-08-31
NSH,3,-1.5716666678587596,4.715000003576279,-1.6775000095367432,6,2012-05-01,2012-07-01,2012-05-31
